Team 1,Team 2,Venue,Winner,Man of the Match,Toss Winner
Bangladesh,Pakistan,"Vizag Cricket Stadium, India",Pakistan,Shadab Khan,Pakistan
New Zealand,Nepal,"Bay Oval, New Zealand",Nepal,Sandeep Lamichhane,Nepal
West Indies,Ireland,"Kochi Cricket Stadium, India",West Indies,Chris Gayle,Ireland
United Arab Emirates,Sri Lanka,"Providence Stadium, Guyana, West Indies",Sri Lanka,Dinesh Chandimal,United Arab Emirates
Afghanistan,Hong Kong,"Thiruvananthapuram Cricket Stadium, India",Hong Kong,Nizakat Khan,Afghanistan
Nepal,Hong Kong,"Adelaide Oval, Australia",Hong Kong,Kinchit Shah,Hong Kong
Ireland,Pakistan,"Wanderers Cricket Ground, Namibia",Pakistan,Shaheen Afridi,Pakistan
West Indies,Netherlands,"Dharamsala Cricket Stadium, India",Netherlands,Bas de Leede,Netherlands
Ireland,Papua New Guinea,"Sydney Cricket Ground, Australia",Papua New Guinea,Charles Amini,Ireland
Ireland,Namibia,"Kensington Oval, Barbados, West Indies",Ireland,Josh Little,Ireland
West Indies,Ireland,"Zahur Ahmed Chowdhury Stadium, Bangladesh",West Indies,Andre Russell,Ireland
Zimbabwe,Oman,"Old Trafford, England",Zimbabwe,Blessing Muzarabani,Zimbabwe
New Zealand,South Africa,"Dehradun Cricket Stadium, India",South Africa,Quinton de Kock,South Africa
Afghanistan,Hong Kong,"Guwahati Cricket Stadium, India",Hong Kong,Babar Hayat,Hong Kong
Scotland,South Africa,"Kabul International Cricket Stadium, Afghanistan",South Africa,Kagiso Rabada,Scotland
Ireland,Oman,"Lord's, England",Oman,Aqib Ilyas,Ireland
Afghanistan,Zimbabwe,"Dehradun Cricket Stadium, India",Zimbabwe,Blessing Muzarabani,Afghanistan
Bangladesh,United Arab Emirates,"Providence Stadium, Guyana, West Indies",United Arab Emirates,Muhammad Usman,United Arab Emirates
Bangladesh,Sri Lanka,"Raipur International Cricket Stadium, India",Sri Lanka,Kusal Perera,Sri Lanka
Afghanistan,Oman,"Dubai International Stadium, UAE",Afghanistan,Mohammad Nabi,Oman
Sri Lanka,South Africa,"Kanpur Cricket Stadium, India",Sri Lanka,Wanindu Hasaranga,Sri Lanka
Netherlands,Pakistan,"Lord's, England",Netherlands,Max O'Dowd,Netherlands
South Africa,Pakistan,"Tribhuvan University International Cricket Ground, Nepal",South Africa,Quinton de Kock,South Africa
Netherlands,United Arab Emirates,"The Grange Club, Scotland",United Arab Emirates,Chirag Suri,United Arab Emirates
Bangladesh,South Africa,"Indore Cricket Stadium, India",Bangladesh,Mahmudullah,South Africa
India,Scotland,"Gaddafi Stadium, Pakistan",Scotland,Kyle Coetzer,Scotland
Zimbabwe,Ireland,"Eden Gardens, India",Zimbabwe,Craig Ervine,Zimbabwe
Sri Lanka,South Africa,"Ranchi Cricket Stadium, India",Sri Lanka,Angelo Mathews,South Africa
Scotland,Hong Kong,"M. A. Chidambaram Stadium, India",Scotland,Mark Watt,Hong Kong
Australia,Pakistan,"Amini Park, Papua New Guinea",Australia,Steve Smith,Australia
Sri Lanka,Oman,"Dharamsala Cricket Stadium, India",Oman,Khawar Ali,Sri Lanka
Namibia,Netherlands,"Rajiv Gandhi International Cricket Stadium, India",Netherlands,Max O'Dowd,Netherlands
Australia,United Arab Emirates,"Vizag Cricket Stadium, India",Australia,David Warner,United Arab Emirates
Pakistan,Zimbabwe,"National Stadium, Karachi, Pakistan",Pakistan,Shadab Khan,Pakistan
Oman,Bangladesh,"The Grange Club, Scotland",Bangladesh,Tamim Iqbal,Oman
Pakistan,West Indies,"Thiruvananthapuram Cricket Stadium, India",West Indies,Kieron Pollard,West Indies
Namibia,Scotland,"Old Trafford, England",Scotland,Richie Berrington,Namibia
United Arab Emirates,Bangladesh,"Motera Stadium, India",Bangladesh,Shakib Al Hasan,United Arab Emirates
Nepal,India,"Sabina Park, Jamaica, West Indies",Nepal,Karan KC,India
Nepal,Bangladesh,"Queen's Sports Club, Zimbabwe",Bangladesh,Mushfiqur Rahim,Nepal
Nepal,Pakistan,"National Stadium, Karachi, Pakistan",Pakistan,Haris Rauf,Nepal
Scotland,Sri Lanka,"Bay Oval, New Zealand",Scotland,Richie Berrington,Scotland
Australia,England,"Thiruvananthapuram Cricket Stadium, India",Australia,Pat Cummins,Australia
Nepal,Afghanistan,"Al Amerat Cricket Ground, Oman",Afghanistan,Hazratullah Zazai,Afghanistan
Namibia,India,"Thiruvananthapuram Cricket Stadium, India",Namibia,Craig Williams,India
Scotland,United Arab Emirates,"Galle International Stadium, Sri Lanka",United Arab Emirates,Waheed Ahmed,Scotland
South Africa,Australia,"Eden Gardens, India",Australia,Steve Smith,Australia
Papua New Guinea,New Zealand,"Barsapara Stadium, India",New Zealand,Kyle Jamieson,New Zealand
Hong Kong,Namibia,"Thiruvananthapuram Cricket Stadium, India",Namibia,David Wiese,Namibia
Zimbabwe,Hong Kong,"Himachal Pradesh Cricket Association Stadium, India",Hong Kong,Aizaz Khan,Zimbabwe
United Arab Emirates,Afghanistan,"Wankhede Stadium, India",Afghanistan,Mujeeb Ur Rahman,United Arab Emirates
United Arab Emirates,Papua New Guinea,"Barsapara Stadium, India",Papua New Guinea,Charles Amini,Papua New Guinea
Hong Kong,India,"Seddon Park, New Zealand",India,Hardik Pandya,India
Sri Lanka,Afghanistan,"Gaddafi Stadium, Pakistan",Afghanistan,Hazratullah Zazai,Afghanistan
Sri Lanka,Australia,"Guwahati Cricket Stadium, India",Sri Lanka,Kusal Perera,Sri Lanka
England,New Zealand,"Sher-e-Bangla National Stadium, Bangladesh",England,Jason Roy,England
Australia,Namibia,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Namibia,David Wiese,Namibia
Australia,Scotland,"National Stadium, Karachi, Pakistan",Scotland,Mark Watt,Australia
Namibia,Bangladesh,"Ranchi Cricket Stadium, India",Bangladesh,Mahmudullah,Bangladesh
Netherlands,Nepal,"Old Trafford, England",Netherlands,Bas de Leede,Netherlands
Australia,Hong Kong,"Galle International Stadium, Sri Lanka",Hong Kong,Aizaz Khan,Hong Kong
New Zealand,Hong Kong,"Raipur International Cricket Stadium, India",Hong Kong,Babar Hayat,Hong Kong
Netherlands,Hong Kong,"Sheikh Zayed Stadium, UAE",Hong Kong,Kinchit Shah,Netherlands
New Zealand,South Africa,"Old Trafford, England",New Zealand,Kyle Jamieson,New Zealand
New Zealand,Ireland,"Wanderers Cricket Ground, Namibia",Ireland,Andrew Balbirnie,Ireland
Netherlands,United Arab Emirates,"Galle International Stadium, Sri Lanka",Netherlands,Max O'Dowd,Netherlands
South Africa,Bangladesh,"Harare Sports Club, Zimbabwe",South Africa,Faf du Plessis,Bangladesh
Bangladesh,India,"Rajkot Cricket Stadium, India",Bangladesh,Tamim Iqbal,India
Scotland,Oman,"Seddon Park, New Zealand",Scotland,George Munsey,Scotland
Oman,New Zealand,"Cuttack Cricket Stadium, India",New Zealand,Trent Boult,Oman
Hong Kong,Zimbabwe,"Raipur International Cricket Stadium, India",Hong Kong,Aizaz Khan,Hong Kong
Scotland,Sri Lanka,"Guwahati Cricket Stadium, India",Scotland,Kyle Coetzer,Scotland
Papua New Guinea,Bangladesh,"Indore Cricket Stadium, India",Bangladesh,Mustafizur Rahman,Bangladesh
India,Australia,"Alokozay Kabul International Cricket Ground, Afghanistan",Australia,David Warner,Australia
Namibia,Australia,"Dehradun Cricket Stadium, India",Australia,Steve Smith,Namibia
Nepal,Papua New Guinea,"Wankhede Stadium, India",Papua New Guinea,Charles Amini,Papua New Guinea
Sri Lanka,South Africa,"Harare Sports Club, Zimbabwe",Sri Lanka,Lasith Malinga,South Africa
Afghanistan,Oman,"Patna Cricket Stadium, India",Afghanistan,Mohammad Nabi,Afghanistan
Afghanistan,Ireland,"VRA Cricket Ground, Netherlands",Ireland,Paul Stirling,Afghanistan
Ireland,Nepal,"Hyderabad Cricket Stadium, India",Ireland,Kevin O'Brien,Ireland
Netherlands,Oman,"Maharashtra Cricket Association Stadium, India",Netherlands,Pieter Seelaar,Netherlands
Afghanistan,Pakistan,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Afghanistan,Hazratullah Zazai,Pakistan
Bangladesh,South Africa,"Pune Cricket Stadium, India",South Africa,Anrich Nortje,South Africa
Afghanistan,Sri Lanka,"Wanderers Cricket Ground, Namibia",Afghanistan,Mujeeb Ur Rahman,Afghanistan
Papua New Guinea,Scotland,"Galle International Stadium, Sri Lanka",Papua New Guinea,Tony Ura,Papua New Guinea
United Arab Emirates,New Zealand,"Newlands, South Africa",New Zealand,Tom Latham,New Zealand
England,Afghanistan,"Motera Stadium, India",Afghanistan,Mujeeb Ur Rahman,England
South Africa,Netherlands,"Dehradun Cricket Stadium, India",South Africa,Anrich Nortje,South Africa
Oman,Bangladesh,"Melbourne Cricket Ground, Australia",Bangladesh,Mahmudullah,Oman
India,Nepal,"Punjab Cricket Association IS Bindra Stadium, India",Nepal,Karan KC,Nepal
England,Scotland,"Adelaide Oval, Australia",Scotland,Mark Watt,Scotland
West Indies,Sri Lanka,"Perth Stadium, Australia",Sri Lanka,Kusal Perera,Sri Lanka
West Indies,India,"Jharkhand State Cricket Association Stadium, India",West Indies,Kieron Pollard,West Indies
Sri Lanka,West Indies,"Alokozay Kabul International Cricket Ground, Afghanistan",Sri Lanka,Dinesh Chandimal,Sri Lanka
Hong Kong,New Zealand,"Kabul International Cricket Stadium, Afghanistan",New Zealand,Kyle Jamieson,Hong Kong
Ireland,Afghanistan,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Afghanistan,Hazratullah Zazai,Afghanistan
Nepal,Zimbabwe,"Kabul International Cricket Stadium, Afghanistan",Nepal,Sandeep Lamichhane,Nepal
Scotland,Papua New Guinea,"Jharkhand State Cricket Association Stadium, India",Scotland,Kyle Coetzer,Scotland
New Zealand,Nepal,"Newlands, South Africa",Nepal,Gyanendra Malla,New Zealand
Zimbabwe,United Arab Emirates,"Browne Park, Montserrat, West Indies",Zimbabwe,Sikandar Raza,Zimbabwe
United Arab Emirates,Scotland,"Wankhede Stadium, India",United Arab Emirates,Muhammad Usman,Scotland
New Zealand,Netherlands,"Wanderers Stadium, South Africa",Netherlands,Pieter Seelaar,Netherlands
Papua New Guinea,Oman,"Vidarbha Cricket Association Stadium, India",Oman,Aqib Ilyas,Papua New Guinea
West Indies,Namibia,"Harare Sports Club, Zimbabwe",Namibia,JJ Smit,West Indies
Namibia,Bangladesh,"Nagpur Cricket Stadium, India",Bangladesh,Mushfiqur Rahim,Bangladesh
Bangladesh,Netherlands,"Himachal Pradesh Cricket Association Stadium, India",Bangladesh,Shakib Al Hasan,Bangladesh
Bangladesh,Oman,"Kochi Cricket Stadium, India",Oman,Zeeshan Maqsood,Bangladesh
Nepal,India,"Bay Oval, New Zealand",India,Virat Kohli,India
Afghanistan,New Zealand,"Saurashtra Cricket Association Stadium, India",Afghanistan,Mohammad Nabi,Afghanistan
Afghanistan,Zimbabwe,"Mission Road Ground, Hong Kong",Afghanistan,Rahmanullah Gurbaz,Zimbabwe
United Arab Emirates,England,"Punjab Cricket Association IS Bindra Stadium, India",United Arab Emirates,Rohan Mustafa,England
India,Nepal,"Holkar Stadium, India",Nepal,Gyanendra Malla,Nepal
United Arab Emirates,Australia,"Lord's, England",United Arab Emirates,Muhammad Usman,Australia
South Africa,Scotland,"Newlands, South Africa",Scotland,Mark Watt,Scotland
Nepal,Ireland,"National Stadium, Karachi, Pakistan",Nepal,Paras Khadka,Ireland
Pakistan,Afghanistan,"Jaipur Cricket Stadium, India",Afghanistan,Hazratullah Zazai,Pakistan
Oman,South Africa,"Feroz Shah Kotla Ground, India",South Africa,Anrich Nortje,Oman
New Zealand,Namibia,"Kanpur Cricket Stadium, India",New Zealand,Tom Latham,New Zealand
Scotland,Australia,"Hyderabad Cricket Stadium, India",Scotland,Kyle Coetzer,Scotland
India,Pakistan,"Mission Road Ground, Hong Kong",India,Rohit Sharma,India
Australia,Bangladesh,"Perth Stadium, Australia",Bangladesh,Mushfiqur Rahim,Bangladesh
Afghanistan,Pakistan,"Rajiv Gandhi International Cricket Stadium, India",Pakistan,Shadab Khan,Pakistan
India,Oman,"Lord's, England",India,Rishabh Pant,Oman
Afghanistan,India,"Kensington Oval, Barbados, West Indies",India,Rishabh Pant,Afghanistan
Australia,Netherlands,"Pune Cricket Stadium, India",Netherlands,Ben Cooper,Netherlands
South Africa,West Indies,"Ranchi Cricket Stadium, India",South Africa,David Miller,West Indies
Australia,Zimbabwe,"Harare Sports Club, Zimbabwe",Australia,David Warner,Zimbabwe
United Arab Emirates,Sri Lanka,"Sabina Park, Jamaica, West Indies",Sri Lanka,Kusal Perera,Sri Lanka
Pakistan,Scotland,"Motera Stadium, India",Scotland,Mark Watt,Scotland
Namibia,Afghanistan,"Rajkot Cricket Stadium, India",Afghanistan,Mohammad Nabi,Afghanistan
Namibia,Afghanistan,"Kanpur Cricket Stadium, India",Namibia,Ruben Trumpelmann,Namibia
Nepal,Sri Lanka,"Perth Stadium, Australia",Nepal,Dipendra Singh Airee,Nepal
Hong Kong,West Indies,"M. A. Chidambaram Stadium, India",West Indies,Nicholas Pooran,West Indies
New Zealand,Sri Lanka,"Wanderers Stadium, South Africa",New Zealand,Kyle Jamieson,New Zealand
Zimbabwe,Netherlands,"Eden Park, New Zealand",Zimbabwe,Blessing Muzarabani,Zimbabwe
Namibia,South Africa,"Sabina Park, Jamaica, West Indies",Namibia,JJ Smit,Namibia
India,New Zealand,"Pune Cricket Stadium, India",India,Jasprit Bumrah,India
Ireland,Scotland,"Amini Park, Papua New Guinea",Ireland,Josh Little,Scotland
Sri Lanka,Zimbabwe,"Eden Gardens, India",Sri Lanka,Dinesh Chandimal,Zimbabwe
England,Oman,"Warner Park, St Kitts, West Indies",England,Jos Buttler,England
Namibia,Hong Kong,"Lucknow Cricket Stadium, India",Hong Kong,Nizakat Khan,Hong Kong
Papua New Guinea,West Indies,"Barsapara Stadium, India",West Indies,Kieron Pollard,Papua New Guinea
Zimbabwe,England,"Gaddafi Stadium, Pakistan",England,Joe Root,Zimbabwe
West Indies,Scotland,"Bellerive Oval, Australia",West Indies,Kieron Pollard,West Indies
Hong Kong,England,"Wanderers Cricket Ground, Namibia",England,Jos Buttler,England
Zimbabwe,Ireland,"Maharashtra Cricket Association Stadium, India",Ireland,Andrew Balbirnie,Zimbabwe
England,South Africa,"Lord's, England",South Africa,Anrich Nortje,England
Hong Kong,South Africa,"Kanpur Cricket Stadium, India",Hong Kong,Nizakat Khan,Hong Kong
Papua New Guinea,Hong Kong,"Malahide Cricket Club Ground, Ireland",Hong Kong,Nizakat Khan,Hong Kong
Namibia,Netherlands,"The Grange Club, Scotland",Netherlands,Fred Klaassen,Namibia
Scotland,Hong Kong,"Patna Cricket Stadium, India",Hong Kong,Kinchit Shah,Scotland
New Zealand,England,"Bellerive Oval, Australia",New Zealand,Kyle Jamieson,New Zealand
Papua New Guinea,Bangladesh,"Arun Jaitley Stadium, India",Papua New Guinea,Tony Ura,Bangladesh
Pakistan,India,"Jharkhand State Cricket Association Stadium, India",India,Virat Kohli,Pakistan
Pakistan,Sri Lanka,"Browne Park, Montserrat, West Indies",Pakistan,Shaheen Afridi,Sri Lanka
England,Papua New Guinea,"Rajiv Gandhi International Cricket Stadium, India",Papua New Guinea,Lega Siaka,Papua New Guinea
Pakistan,Australia,"Sher-e-Bangla National Stadium, Bangladesh",Pakistan,Shaheen Afridi,Pakistan
New Zealand,Pakistan,"Providence Stadium, Guyana, West Indies",Pakistan,Babar Azam,Pakistan
Australia,Afghanistan,"Barsapara Stadium, India",Australia,Pat Cummins,Afghanistan
India,Netherlands,"Gaddafi Stadium, Pakistan",Netherlands,Ben Cooper,Netherlands
Nepal,South Africa,"Alokozay Kabul International Cricket Ground, Afghanistan",Nepal,Gyanendra Malla,South Africa
Hong Kong,Oman,"VRA Cricket Ground, Netherlands",Oman,Zeeshan Maqsood,Hong Kong
Hong Kong,England,"VRA Cricket Ground, Netherlands",England,Jofra Archer,Hong Kong
New Zealand,Netherlands,"Chinnaswamy Stadium, India",New Zealand,Kyle Jamieson,New Zealand
Zimbabwe,Hong Kong,"Bellerive Oval, Australia",Hong Kong,Babar Hayat,Zimbabwe
Papua New Guinea,Scotland,"Holkar Stadium, India",Scotland,Kyle Coetzer,Scotland
New Zealand,United Arab Emirates,"Ranchi Cricket Stadium, India",New Zealand,Kyle Jamieson,New Zealand
Pakistan,Afghanistan,"Raipur International Cricket Stadium, India",Pakistan,Babar Azam,Pakistan
South Africa,Zimbabwe,"Maharashtra Cricket Association Stadium, India",South Africa,Faf du Plessis,Zimbabwe
Namibia,South Africa,"Rajkot Cricket Stadium, India",Namibia,Gerhard Erasmus,Namibia
Australia,Afghanistan,"Al Amerat Cricket Ground, Oman",Australia,Glenn Maxwell,Afghanistan
West Indies,Namibia,"Hyderabad Cricket Stadium, India",Namibia,David Wiese,Namibia
South Africa,Afghanistan,"Motera Stadium, India",Afghanistan,Mujeeb Ur Rahman,Afghanistan
Hong Kong,Nepal,"Indore Cricket Stadium, India",Hong Kong,Ehsan Khan,Nepal
Bangladesh,Oman,"Amini Park, Papua New Guinea",Oman,Bilal Khan,Oman
Netherlands,South Africa,"Kensington Oval, Barbados, West Indies",Netherlands,Max O'Dowd,Netherlands
Nepal,Hong Kong,"The Grange Club, Scotland",Nepal,Paras Khadka,Nepal
South Africa,United Arab Emirates,"Barsapara Stadium, India",South Africa,Kagiso Rabada,South Africa
Papua New Guinea,Bangladesh,"Alokozay Kabul International Cricket Ground, Afghanistan",Bangladesh,Mahmudullah,Papua New Guinea
Namibia,Ireland,"Galle International Stadium, Sri Lanka",Ireland,Andrew Balbirnie,Ireland
Netherlands,West Indies,"Greenfield International Stadium, India",West Indies,Nicholas Pooran,Netherlands
South Africa,Papua New Guinea,"Jharkhand State Cricket Association Stadium, India",Papua New Guinea,Assad Vala,South Africa
New Zealand,Namibia,"Greenfield International Stadium, India",Namibia,Gerhard Erasmus,Namibia
Scotland,Australia,"Rajkot Cricket Stadium, India",Scotland,Richie Berrington,Scotland
South Africa,Australia,"Feroz Shah Kotla Ground, India",Australia,Pat Cummins,Australia
New Zealand,England,"Rajkot Cricket Stadium, India",New Zealand,Kane Williamson,New Zealand
Hong Kong,Australia,"Browne Park, Montserrat, West Indies",Hong Kong,Aizaz Khan,Australia
South Africa,Hong Kong,"Nagpur Cricket Stadium, India",South Africa,Anrich Nortje,South Africa
Hong Kong,Papua New Guinea,"Alokozay Kabul International Cricket Ground, Afghanistan",Hong Kong,Ehsan Khan,Hong Kong
Oman,Sri Lanka,"Barsapara Stadium, India",Sri Lanka,Lasith Malinga,Oman
Ireland,Netherlands,"Galle International Stadium, Sri Lanka",Netherlands,Bas de Leede,Ireland
India,Sri Lanka,"Queen's Sports Club, Zimbabwe",India,Hardik Pandya,India
Papua New Guinea,Ireland,"Kanpur Cricket Stadium, India",Papua New Guinea,Lega Siaka,Papua New Guinea
Scotland,Nepal,"Providence Stadium, Guyana, West Indies",Nepal,Sandeep Lamichhane,Scotland
Ireland,Sri Lanka,"VRA Cricket Ground, Netherlands",Sri Lanka,Kusal Perera,Sri Lanka
Sri Lanka,Netherlands,"Maharashtra Cricket Association Stadium, India",Netherlands,Bas de Leede,Sri Lanka
Bangladesh,United Arab Emirates,"Warner Park, St Kitts, West Indies",Bangladesh,Shakib Al Hasan,Bangladesh
England,Zimbabwe,"Bellerive Oval, Australia",Zimbabwe,Brendan Taylor,Zimbabwe
Zimbabwe,Netherlands,"Kochi Cricket Stadium, India",Netherlands,Pieter Seelaar,Zimbabwe
Hong Kong,Namibia,"Harare Sports Club, Zimbabwe",Namibia,JJ Smit,Namibia
Oman,West Indies,"Rajiv Gandhi International Cricket Stadium, India",Oman,Khawar Ali,Oman
Zimbabwe,Oman,"R. Premadasa Stadium, Sri Lanka",Oman,Khawar Ali,Oman
Scotland,Namibia,"Hyderabad Cricket Stadium, India",Scotland,Richie Berrington,Scotland
Papua New Guinea,Sri Lanka,"Galle International Stadium, Sri Lanka",Papua New Guinea,Nosaina Pokana,Papua New Guinea
Sri Lanka,India,"Jaipur Cricket Stadium, India",India,Jasprit Bumrah,India
South Africa,New Zealand,"Tribhuvan University International Cricket Ground, Nepal",South Africa,Kagiso Rabada,New Zealand
Bangladesh,Australia,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Bangladesh,Mustafizur Rahman,Bangladesh
Netherlands,England,"Gaddafi Stadium, Pakistan",Netherlands,Bas de Leede,Netherlands
Hong Kong,India,"Motera Stadium, India",Hong Kong,Kinchit Shah,Hong Kong
Nepal,Bangladesh,"Sheikh Zayed Stadium, UAE",Bangladesh,Shakib Al Hasan,Nepal
Pakistan,Hong Kong,"Amini Park, Papua New Guinea",Hong Kong,Aizaz Khan,Pakistan
Sri Lanka,England,"M. A. Chidambaram Stadium, India",England,Jofra Archer,England
Sri Lanka,West Indies,"Alokozay Kabul International Cricket Ground, Afghanistan",West Indies,Chris Gayle,West Indies
Hong Kong,Oman,"Dubai International Stadium, UAE",Hong Kong,Babar Hayat,Oman
Bangladesh,South Africa,"Adelaide Oval, Australia",South Africa,Kagiso Rabada,Bangladesh
Bangladesh,England,"Kensington Oval, Barbados, West Indies",England,Ben Stokes,England
United Arab Emirates,Pakistan,"Indore Cricket Stadium, India",United Arab Emirates,Chirag Suri,Pakistan
Namibia,Afghanistan,"Amini Park, Papua New Guinea",Afghanistan,Mujeeb Ur Rahman,Namibia
England,South Africa,"Alokozay Kabul International Cricket Ground, Afghanistan",England,Joe Root,England
England,South Africa,"Malahide Cricket Club Ground, Ireland",South Africa,Faf du Plessis,South Africa
Ireland,Nepal,"Hagley Oval, New Zealand",Nepal,Sandeep Lamichhane,Ireland
Afghanistan,South Africa,"Punjab Cricket Association IS Bindra Stadium, India",Afghanistan,Mujeeb Ur Rahman,South Africa
Sri Lanka,Ireland,"Kensington Oval, Barbados, West Indies",Ireland,Paul Stirling,Sri Lanka
Nepal,India,"Lord's, England",Nepal,Gyanendra Malla,Nepal
Afghanistan,Pakistan,"Providence Stadium, Guyana, West Indies",Afghanistan,Mujeeb Ur Rahman,Pakistan
Hong Kong,England,"Lucknow Cricket Stadium, India",England,Ben Stokes,England
Bangladesh,West Indies,"Al Amerat Cricket Ground, Oman",West Indies,Jason Holder,West Indies
West Indies,Scotland,"M. A. Chidambaram Stadium, India",West Indies,Kieron Pollard,West Indies
South Africa,Scotland,"Rajkot Cricket Stadium, India",Scotland,George Munsey,Scotland
Pakistan,Bangladesh,"Patna Cricket Stadium, India",Bangladesh,Mushfiqur Rahim,Pakistan
West Indies,Afghanistan,"Kensington Oval, Barbados, West Indies",West Indies,Andre Russell,West Indies
Nepal,Scotland,"Sheikh Zayed Stadium, UAE",Nepal,Paras Khadka,Nepal
Nepal,Australia,"Wanderers Cricket Ground, Namibia",Australia,Steve Smith,Australia
Netherlands,Zimbabwe,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Zimbabwe,Craig Ervine,Netherlands
West Indies,Namibia,"Harare Sports Club, Zimbabwe",Namibia,Ruben Trumpelmann,Namibia
India,Afghanistan,"Sher-e-Bangla National Stadium, Bangladesh",Afghanistan,Rashid Khan,India
Hong Kong,New Zealand,"Providence Stadium, Guyana, West Indies",New Zealand,Trent Boult,Hong Kong
England,West Indies,"Dubai International Stadium, UAE",England,Jos Buttler,West Indies
West Indies,England,"Arun Jaitley Stadium, India",England,Ben Stokes,England
Papua New Guinea,Scotland,"Wanderers Cricket Ground, Namibia",Scotland,Kyle Coetzer,Papua New Guinea
Afghanistan,Australia,"National Stadium, Karachi, Pakistan",Australia,Steve Smith,Australia
Zimbabwe,Australia,"Dubai International Stadium, UAE",Australia,Mitchell Starc,Zimbabwe
Nepal,Namibia,"Punjab Cricket Association IS Bindra Stadium, India",Namibia,David Wiese,Namibia
New Zealand,Pakistan,"Bay Oval, New Zealand",Pakistan,Shaheen Afridi,Pakistan
Oman,Pakistan,"Indore Cricket Stadium, India",Oman,Aqib Ilyas,Oman
United Arab Emirates,Pakistan,"VRA Cricket Ground, Netherlands",United Arab Emirates,Chirag Suri,United Arab Emirates
New Zealand,South Africa,"Adelaide Oval, Australia",South Africa,Quinton de Kock,South Africa
Oman,Ireland,"Amini Park, Papua New Guinea",Oman,Bilal Khan,Ireland
New Zealand,Afghanistan,"Jaipur Cricket Stadium, India",Afghanistan,Mohammad Nabi,New Zealand
New Zealand,Nepal,"Lucknow Cricket Stadium, India",Nepal,Sandeep Lamichhane,New Zealand
India,Nepal,"Lucknow Cricket Stadium, India",India,Rohit Sharma,Nepal
Zimbabwe,Netherlands,"Pune Cricket Stadium, India",Zimbabwe,Sean Williams,Netherlands
Hong Kong,Papua New Guinea,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Papua New Guinea,Assad Vala,Hong Kong
Oman,Afghanistan,"M. A. Chidambaram Stadium, India",Oman,Khawar Ali,Oman
Hong Kong,England,"Lord's, England",England,Joe Root,England
England,West Indies,"Bellerive Oval, Australia",West Indies,Jason Holder,West Indies
New Zealand,West Indies,"Browne Park, Montserrat, West Indies",New Zealand,Ross Taylor,West Indies
Bangladesh,United Arab Emirates,"Thiruvananthapuram Cricket Stadium, India",United Arab Emirates,Ahmed Raza,United Arab Emirates
Papua New Guinea,Netherlands,"Queen's Park Oval, Trinidad, West Indies",Netherlands,Pieter Seelaar,Papua New Guinea
Nepal,Ireland,"Sharjah Cricket Stadium, UAE",Ireland,Andrew Balbirnie,Nepal
Oman,Sri Lanka,"Newlands, South Africa",Oman,Jatinder Singh,Sri Lanka
Australia,Pakistan,"Maharashtra Cricket Association Stadium, India",Australia,Glenn Maxwell,Pakistan
Nepal,Australia,"Chinnaswamy Stadium, India",Nepal,Sandeep Lamichhane,Nepal
Namibia,Hong Kong,"Hyderabad Cricket Stadium, India",Hong Kong,Kinchit Shah,Hong Kong
Nepal,Bangladesh,"Sydney Cricket Ground, Australia",Nepal,Paras Khadka,Nepal
Scotland,Netherlands,"Pune Cricket Stadium, India",Netherlands,Fred Klaassen,Netherlands
Bangladesh,Namibia,"Sabina Park, Jamaica, West Indies",Namibia,David Wiese,Bangladesh
Ireland,Netherlands,"R. Premadasa Stadium, Sri Lanka",Netherlands,Ben Cooper,Netherlands
Pakistan,Bangladesh,"Browne Park, Montserrat, West Indies",Pakistan,Mohammad Rizwan,Bangladesh
Hong Kong,Afghanistan,"Saurashtra Cricket Association Stadium, India",Hong Kong,Nizakat Khan,Hong Kong
Hong Kong,Papua New Guinea,"Guwahati Cricket Stadium, India",Papua New Guinea,Charles Amini,Hong Kong
Ireland,New Zealand,"Thiruvananthapuram Cricket Stadium, India",Ireland,Josh Little,Ireland
New Zealand,Papua New Guinea,"Dubai International Stadium, UAE",Papua New Guinea,Nosaina Pokana,Papua New Guinea
Netherlands,Nepal,"Holkar Stadium, India",Nepal,Sandeep Lamichhane,Nepal
South Africa,Ireland,"Seddon Park, New Zealand",South Africa,David Miller,South Africa
Afghanistan,Papua New Guinea,"Sabina Park, Jamaica, West Indies",Papua New Guinea,Nosaina Pokana,Afghanistan
New Zealand,Zimbabwe,"Maharashtra Cricket Association Stadium, India",Zimbabwe,Blessing Muzarabani,New Zealand
Nepal,United Arab Emirates,"Motera Stadium, India",Nepal,Paras Khadka,United Arab Emirates
Bangladesh,Ireland,"Feroz Shah Kotla Ground, India",Ireland,Josh Little,Ireland
Zimbabwe,West Indies,"Dehradun Cricket Stadium, India",West Indies,Jason Holder,West Indies
Hong Kong,United Arab Emirates,"The Grange Club, Scotland",United Arab Emirates,Waheed Ahmed,Hong Kong
